ID
119,702,702,721,721,517,517
120,266,266,546,546,617,617
121,280,280,338,338
122,804,804,442,442,308,308
123,431,431,317,317
124,823,823,420,420,321,321
125,724,724,755,755,790,790
126,246,246,779,779,801,801
127,325,325,835,835,749,749
128,637,637,752,752,480,480
129,845,845,239,239
130,334,334,316,316
131,565,565,797,797,342,342
132,632,632,788,788,370,370
133,288,288,365,365
134,276,276,369,369
135,294,294,399,399,533,533
136,493,493,591,591,422,422
137,602,602,820,820,712,712
138,698,698,391,391,824,824
139,475,475,575,575
140,251,251,679,679,830,830
141,586,586,763,763
142,497,497,713,713
143,487,487,614,614,748,748
144,746,746,287,287
145,538,538,307,307
146,608,608,264,264,770,770
147,839,839,809,809,783,783
148,388,388,680,680,761,761
149,606,606,550,550,525,525
150,261,261,382,382
151,291,291,235,235,544,544
152,728,728,837,837,331,331
153,310,310,677,677,707,707
154,735,735,377,377,842,842
155,719,719,367,367,452,452
156,722,722,841,841,652,652
157,782,782,665,665
158,335,335,829,829,366,366
159,589,589,314,314
160,349,349,378,378
161,269,269
162,648,648,309,309
163,819,819,593,593
164,470,470,350,350,777,777
165,720,720,530,530
166,642,642,610,610
167,355,355,615,615,509,509
168,327,327,825,825,252,252
169,492,492,432,432
170,515,515,726,726
171,554,554,646,646,616,616
172,339,339,436,436
173,594,594,660,660,630,630
174,596,596,284,284,686,686
175,249,249,272,272,279,279
176,732,732,312,312,552,552
177,358,358,386,386
178,757,757,406,406,767,767
179,274,274
180,793,793,833,833
181,502,502,247,247
182,599,599,329,329
183,813,813,306,306,292,292
184,330,330,456,456,764,764
185,340,340,286,286
186,555,555,564,564
187,379,379,649,649
188,639,639,380,380
189,672,672,305,305,775,775
190,725,725,259,259
191,814,814,302,302,479,479
192,446,446,618,618
193,587,587,741,741,281,281
194,482,482,701,701
195,315,315,580,580
196,268,268,384,384
197,623,623,324,324
198,513,513,768,768
199,389,389,362,362
200,626,626,455,455
201,636,636,729,729
202,363,363,681,681
203,296,296,560,560
204,397,397
205,805,805,463,463
206,403,403,417,417
207,818,818,784,784
208,682,682,689,689
209,718,718,440,440
210,374,374,716,716,303,303
211,738,738,688,688,570,570
212,771,771,371,371,433,433
213,256,256,685,685
214,524,524,441,441,834,834
215,774,774,612,612
216,836,836,394,394
217,473,473,426,426
218,240,240,528,528,332,332
219,282,282,641,641,520,520
220,792,792,353,353
221,531,531,645,645,352,352
222,582,582,684,684
223,283,283,670,670
224,527,527,425,425
225,462,462,356,356
226,838,838,662,662
227,510,510,742,742
228,277,277,578,578
229,405,405,705,705
230,516,516,297,297
231,846,846,262,262
232,439,439,556,556
233,416,416,765,765
234,571,571,634,634
